"date","daytype","rides"
"02/14/2003","W","5,353"
"02/15/2003","A","3,634"
"02/16/2003","U","2,376"
"02/17/2003","W","4,302"
"02/18/2003","W","5,251"
"02/19/2003","W","5,263"
"02/20/2003","W","6,126"
"02/21/2003","W","6,133"
"02/22/2003","A","3,443"
"02/23/2003","U","2,306"
"02/24/2003","W","4,810"
"02/25/2003","W","4,860"
"02/26/2003","W","5,163"
"02/27/2003","W","5,224"
"02/28/2003","W","5,262"
"03/01/2003","A","3,610"
"03/02/2003","U","2,260"
"03/03/2003","W","4,585"
"03/04/2003","W","5,122"
"03/05/2003","W","5,510"
"03/06/2003","W","4,909"
"03/07/2003","W","5,397"
"03/08/2003","A","3,246"
"03/09/2003","U","2,097"
"03/10/2003","W","4,868"
"03/11/2003","W","5,290"
"03/12/2003","W","5,295"
"03/13/2003","W","5,392"
"03/14/2003","W","6,144"
"03/15/2003","A","5,951"
"03/16/2003","U","3,485"
"03/17/2003","W","5,814"
"03/18/2003","W","5,381"
"03/19/2003","W","5,205"
"03/20/2003","W","5,554"
"03/21/2003","W","5,374"
"03/22/2003","A","3,615"
"03/23/2003","U","3,001"
"03/24/2003","W","5,005"
"03/25/2003","W","5,103"
"03/26/2003","W","5,239"
"03/27/2003","W","5,451"
"03/28/2003","W","5,024"
"03/29/2003","A","3,492"
"03/30/2003","U","2,325"
"03/31/2003","W","4,840"
"04/01/2003","W","5,135"
"04/02/2003","W","5,308"
"04/03/2003","W","5,176"
"04/04/2003","W","5,204"
"04/05/2003","A","4,202"
"04/06/2003","U","2,596"
"04/07/2003","W","5,289"
"04/08/2003","W","7,765"
"04/09/2003","W","7,450"
"04/10/2003","W","8,712"
"04/11/2003","W","10,327"
"04/12/2003","A","11,026"
"04/13/2003","U","7,534"
"04/14/2003","W","10,157"
"04/15/2003","W","9,254"
"04/16/2003","W","7,733"
"04/17/2003","W","8,183"
"04/18/2003","W","4,705"
"04/19/2003","A","3,121"
"04/20/2003","U","2,101"
"04/21/2003","W","4,561"
"04/22/2003","W","9,451"
"04/23/2003","W","10,268"
"04/24/2003","W","10,133"
"04/25/2003","W","5,666"
"04/26/2003","A","3,929"
"04/27/2003","U","2,719"
"04/28/2003","W","4,795"
"04/29/2003","W","5,070"
"04/30/2003","W","4,994"
"05/01/2003","W","5,194"
"05/02/2003","W","9,480"
"05/03/2003","A","10,885"
"05/04/2003","U","7,319"
"05/05/2003","W","10,088"
"05/06/2003","W","10,658"
"05/07/2003","W","10,413"
"05/08/2003","W","5,494"
"05/09/2003","W","12,556"
"05/10/2003","A","10,201"
"05/11/2003","U","7,998"
"05/12/2003","W","5,098"
"05/13/2003","W","5,455"
"05/14/2003","W","5,095"
"05/15/2003","W","5,231"
"05/16/2003","W","5,624"
"05/17/2003","A","3,715"
"05/18/2003","U","2,632"
"05/19/2003","W","5,162"
"05/20/2003","W","5,214"
"05/21/2003","W","5,248"
"05/22/2003","W","5,370"
"05/23/2003","W","5,662"
"05/24/2003","A","4,205"
"05/25/2003","U","3,655"
"05/26/2003","U","11,108"
"05/27/2003","W","10,697"
"05/28/2003","W","10,590"
"05/29/2003","W","5,464"
"05/30/2003","W","12,262"
"05/31/2003","A","10,096"
"06/01/2003","U","9,086"
"06/02/2003","W","5,142"
"06/03/2003","W","9,588"
"06/04/2003","W","10,789"
"06/05/2003","W","12,252"
"06/06/2003","W","13,833"
"06/07/2003","A","14,713"
"06/08/2003","U","9,748"
"06/09/2003","W","5,941"
"06/10/2003","W","5,398"
"06/11/2003","W","5,413"
"06/12/2003","W","5,652"
"06/13/2003","W","5,997"
"06/14/2003","A","4,538"
"06/15/2003","U","2,883"
"06/16/2003","W","5,490"
"06/17/2003","W","5,388"
"06/18/2003","W","5,199"
"06/19/2003","W","5,542"
"06/20/2003","W","14,228"
"06/21/2003","A","12,009"
"06/22/2003","U","9,588"
"06/23/2003","W","4,928"
"06/24/2003","W","11,932"
"06/25/2003","W","12,300"
"06/26/2003","W","12,841"
"06/27/2003","W","5,918"
"06/28/2003","A","5,348"
"06/29/2003","U","8,755"
"06/30/2003","W","5,544"
"07/01/2003","W","5,689"
"07/02/2003","W","5,792"
"07/03/2003","W","6,897"
"07/04/2003","U","13,972"
"07/05/2003","A","13,057"
"07/06/2003","U","10,035"
"07/07/2003","W","12,310"
"07/08/2003","W","11,511"
"07/09/2003","W","12,375"
"07/10/2003","W","14,098"
"07/11/2003","W","15,013"
"07/12/2003","A","13,030"
"07/13/2003","U","10,847"
"07/14/2003","W","6,079"
"07/15/2003","W","5,893"
"07/16/2003","W","5,472"
"07/17/2003","W","5,293"
"07/18/2003","W","5,994"
